Jeux,Description,Sortie,Test,Avis
Super Mario Galaxy,"Super Mario Galaxy est un jeu de plates-formes sur la Wii U de Nintendo. C'est dans l'espace et à la découverte de nombreuses galaxies que vous devez cette fois diriger Mario. A vous d'aider le célèbre plombier dans sa mission de collecte d'étoiles. Soixantaine d'entre elles suffisent pour finir le jeu, mais au total, ce sont plus de 120 étoiles qui vous attendent. Mario va trouver sur son chemin de nombreux bonus et champignons pour l'aider dans sa quête.",16 novembre 2007,19/20,18.3/20
Dead Space 2,"Dead Space 2 est un survival-horror qui fait suite au premier opus de la série. Isaac est en mission sur une station géante dévastée, The Sprawl, et doit de nouveau faire face aux Nécromorphes, avec un panel d'armes plus large et dans des environnements plus variés.",27 janvier 2011,19/20,18.1/20
Fallout,"Fallout est un jeu de rôle sur PC vous projetant dans un univers post-nucléaire. Après la Grande Guerre du XXIe siècle qui fut dévastatrice pour l'humanité, des hommes tentent de survivre dans les ruines de grandes villes. Vous incarnez un réfugié de l'Abri 13, l'un de ceux construits pour protéger quelques privilégiés. Le dirigeant de l'Abri 13 vous envoie chercher une puce de rechange pour la filtration de l'eau. Né dans l'abri, vous vous apprêtez à découvrir ce qu'il reste du monde extérieur.",30 septembre 1997,19/20,18.4/20
Xenoblade Chronicles,"Xenoblade Chronicles est un RPG japonais. Il relate la guerre entre les hommes et machines, provoquée par un affrontement entre les grands dieux Bionis et Mékonis. Immobilisés alors que leurs lames entraient en contact, leurs corps abritent désormais deux nations rivales : les Homz et les machines. Le héros, Shulk, est un jeune garçon qui hérite d'une arme surpuissante nommée Monado, capable de prédire l'avenir.",19 août 2011,19/20,18.7/20
Super Smash Bros. for Wii U sur WiiU,"Super Smash Bros. for Wii U est un jeu de combat en arènes dans lesquelles s’affrontent un grand nombre de personnages issus de l’univers de Nintendo, tels que Pikachu, Link, Mario, Samus, ou encore Donkey Kong. De nouveaux combattants arrivent également tels que Mega Man, la coach de Wii Fit, et même le villageois de Animal Crossing. De nombreux modes sont disponibles, et le mode multijoueur est bien évidemment toujours de la partie.",28 novembre 2014,19/20,17.4/20
Dune,"Dune sur PC est un jeu mêlant aventure, gestion et stratégie. L'histoire qui se déroule sur la planète Arrakis, est centrée sur un conflit entre deux maisons autour de l'extraction de l'épice, substance la plus précieuse de l'univers. Le scénario suit les aventures de Paul Atréides, qui met toutes ses compétences à l'oeuvre pour défendre les intérêts des siens. Tissez des relations avec les tribus locales, assurez l'extraction de l'épice et chassez les cruels Harkonnen.",1992,19/20,19.2/20
Final Fantasy VI,"Final Fantasy VI est un jeu de rôle japonais à l'univers sombre. Dans cet épisode, la technologie Magitek a pris le pas sur la magie, 1000 ans après une grande guerre, et l'Empire règne d'une main de fer sur le monde. Le héros, Lock, dirige un groupe de rebelles, les Returners, et essaye de se retourner contre cette super-puissance.",27 février 2002,19/20,18.7/20
Shadow Man,"Vous êtes Shadow Man et avez la capacité de passer du monde des vivants au monde des morts en un claquement de doigts. Dans ce jeu sur PC, vous devez empêcher des tueurs en série de plonger le monde dans le chaos. Vous disposez de pouvoirs vaudous afin de vous débarrasser de vos ennemis dans le monde des morts et d'armes à feu pour abattre ceux du monde des vivants.",Août 1999,19/20,17.8/20
Chrono Trigger,"Chrono Trigger est un jeu de rôle mettant en scène le jeune Chrono dans ses aventures à travers le temps. Ce dernier part à la suite de la princesse, absorbée par le passé lors de la fête du Millénaire, et rencontrera de nombreux autres personnages au cours de ses aventures et devra affronter mille dangers...",11 mars 1995,19/20,19/20
The Last of Us sur PS3,"The Last of Us est un jeu d'action et de survie dans laquelle le joueur incarne Joel et Ellie, obligés de voyager ensemble à travers les États-Unis. L'histoire se passe dans un monde ravagé par une maladie transformant les gens en zombies et ayant semé l'anarchie parmi les survivants il y a des années de cela. L'esquive et l'infiltration seront souvent de mise face à des ennemis en surnombre ou particulièrement puissants.",14 juin 2013,19/20,18.7/20
Arx Fatalis,"Arx Fatalis est un jeu de rôle médiéval fantastique à la première personne sur PC. L'humanité et toutes sortes de monstres vivent sous la surface, dans d'immenses souterrains. Pour survivre, le joueur doit faire cuire sa nourriture, récupérer de l'équipement, remplir des quêtes et apprendre des sortilèges. Ces derniers sont lancés en traçant des symboles runiques à l'écran.",26 septembre 2002,19/20,17.2/20
Ori and the Blind Forest,"Ori and the Blind Forest est un Metroidvania prenant place dans un univers enchanteur et poétique. Assez classique dans son approche du genre, vous devrez fouiller chaque niveau pour débloquer de nouveaux pouvoirs et capacités afin d'accéder aux zones suivantes.",11 mars 2015,19/20,18.8/20
Dynamite Headdy,"Dynamite Headdy à télécharger sur PC met en scène un jouet qui a la particularité de se battre avec sa tête amovible. Lancez-la sur vos adversaires pour vous en débarrasser dans ce jeu de plates-formes cartoonesque et défaites le maléfique Dark Demon qui tente de transformer les jouets de la ville en sbires à sa solde. Combattez également votre ennemi juré, l'ours Trouble Bruin et délivrez la ville du joug démoniaque.",1994,19/20,17.1/20
Dragon Quest : L'Odyssée du Roi Maudit,"Dragon Quest : L'Odyssée du Roi Maudit est un jeu de rôle dans lequel le joueur part à la recherche d'un remède pour le roi Trode, transformé en crapaud par une malédiction. Accompagné de ses compagnons, il devra parcourir le monde pour sauver le royaume pétrifié.",13 avril 2006,19/20,18.5/20
Resident Evil 4,"Faisant virer la série vers le jeu d'action, Resident Evil 4 est un survival-horror dans lequel le joueur incarne Leon S. Kennedy. Ce dernier est à la recherche d'Ashley, la fille du président des USA, qui est détenue par des terroristes aux plans peu louables. L'action se déroule dans un petit village espagnol reculé, alors que la population semble se comporter de façon étrange et particulièrement agressive...",18 mars 2005,19/20,18.7/20
Super Mario Galaxy 2,"Jeu de plates-formes, Super Mario Galaxy 2 réintroduit Mario dans une nouvelle aventure qui prend place confins de l'espace. Mario défie à nouveau la loi de la gravité pour partir explorer une myriade de planètes inédites. Yoshi fait également son grand retour dans cet épisode qui renferme par moins de 240 étoiles à dénicher, le challenge ayant été revu à la hausse pour séduire les inconditionnels de la série.",11 juin 2010,19/20,18.4/20
Ether One,"Ether One est un jeu d'aventure psychologique. Le joueur y découvre une histoire présentant de multiples possibilités suivant la voie qu'il décidera de prendre. La frontière entre réalité et fiction, ainsi que le thème de la folie sont au centre de cette aventure particulière.",25 mars 2014,19/20,11.1/20
Donkey Kong Country,"Dans Donkey Kong Country, vous incarnez le célèbre gorille de Nintendo. Le King K. Rool a volé les bananes de Donkey qui décide alors de partir à sa recherche pour les récupérer. Deux personnages sont jouables, Donkey est plus grand et plus fort, alors que Diddy est plus rapide. Il est possible de jouer à deux, soit chacun son tour, soit en équipe. Des animaux vous aideront à franchir certains niveaux et à vaincre les Kremlings.",1994,19/20,18.6/20
Monkey Island 2 : LeChuck's Revenge,"Tout fier d'avoir vaincu le pirate fantôme LeChuck, Guybrush Threepwood repart à l'assaut d'une aventure pleine de rebondissements pour tenter de trouver le fabuleux trésor de Big Whoop. Mais son ennemi refait surface et lui met de nouveaux bâtons dans les roues.",1991,19/20,19.4/20
Metroid Prime sur NGC,"Metroid Prime est un jeu d'action en vue à la première personne qui vous met dans la peau de la célèbre chasseuse de primes, Samus. Une matière inconnue du nom de Phazon s'écrase sur la planète Tallon IV et y détruit la faune et la flore. Des pirates de l'espace tentent de contrôler le Phazon, Samus essaie de les en empêcher.",21 mars 2003,19/20,18.6/20
Tales of Symphonia,"Dans Tales of Symphonia, le joueur suit une équipe de huit personnages, Lloyd Irving en tête, dans leur quête pour sauver le monde. Ce jeu de rôle est jouable en combat jusqu'à quatre et propose une longue histoire et un vaste univers à explorer, ainsi que de nombreuses quêtes annexes.",19 novembre 2004,19/20,19/20
Dishonored,"Dishonored est un jeu d'infiltration et d'action dans lequel le joueur incarne Corvo, un ancien garde du corps. Celui-ci est mis en prison, accusé du meurtre de l'impératrice qu'il protégeait, et doit utiliser tous ses talents pour dévoiler le complot monté contre lui.",9 octobre 2012,19/20,17.2/20
Metal Gear Solid 2 : Sons of Liberty sur PS2,"MGS2 : Sons of Liberty est un jeu d'infiltration/action sorti sur PS2. Dans cet opus le joueur incarne Snake puis Raiden dans une lutte contre la prolifération du Metal Gear. Equipé de divers armes et gadgets, il doit s'infiltrer pour arriver au but, mais libre à lui d'utiliser la manière forte. S'enchaînent alors phases d'infiltration, d'action, de boss. Le scénario dense comte de nombreuses cinématiques pour un jeu très proche du 7ème art.",8 mars 2002,19/20,17.8/20
Metal Gear Solid 3 Subsistence sur PS2,"MGS3 Subsistance est une version étendue du titre original Snake Eater. Tenant sur trois DVDs, le jeu propose un nouveau système de caméra libre, un mode de jeu online, une réédition des épisodes sortis sur MSX et un film de plus de 3 heures retraçant l'ensemble du scénario. Divers autres bonus sont aussi présents pour cette réédition d'un des plus grands classiques de la PS2.",5 octobre 2006,19/20,19.4/20
Diablo,Diablo sur PC est un hack'n slash dans lequel vous incarnez un personnage à choisir parmi trois classes. Votre but est d'explorer les souterrains d'un château en exterminant les monstres qui s'y trouvent afin d'accumuler de l'expérience et des objets pour devenir de plus en plus fort. Avancez et débusquez le mal au fond de sa tanière : éliminez Diablo pour récupérer la pierre d'âme et ainsi contenir le fléau qui ronge le monde.,30 novembre 1996,19/20,17.9/20
Conker's Bad Fur Day sur N64,"Conker's Bad Fur Day sur Nintendo 64 est un jeu de plates-formes mettant en scène un écureuil avec une gueule de bois du tonnerre qui va tenter de rentrer chez lui après une soirée agitée. Evoluez dans un univers caricatural où se mêlent violence, obscénités et parodies.",30 mai 2001,19/20,18.8/20
Bayonetta,"Bayonetta est un Beat'em all mettant en scène la puissante et magnifique sorcière du même nom. Celle-ci doit combattre de nombreux ennemis, souvent colossaux, envoyés par le ciel dans des mises en scène particulièrement impressionnantes.",8 janvier 2010,19/20,18/20
Baten Kaitos sur NGC,Baten Kaitos est un jeu de rôle sur Gamecube où vous dirigez un groupe de héros dont le destin est de sauver le monde. Nous sommes à une époque où la Terre et l'Océan ne sont plus que des légendes. De vastes îles lévitant très haut dans le Ciel ont pris la place des continents. Les créatures seront nombreuses sur votre route mais vous pourrez les battre en vous frayant un chemin grâce à un système de combat original et novateur basé sur des cartes.,1er avril 2005,19/20,18.2/20
Steins : Gate,"Steins : Gate est un roman virtuel sur PC. Au Japon, une bande d'amis résidant dans le quartier branché d'Akihabara a trouvé le moyen de communiquer avec le passé grâce à leur téléphone portable. Mais dans le même temps, la SERN, une société diabolique, est en train de chercher un moyen de voyager dans le passé. Cette organisation va alors prendre en chasse les jeunes étudiants afin de s'approprier leur secret.",23 juin 2011,19/20,17.7/20
Minecraft,"Jeu bac à sable indépendant et pixelisé dont le monde infini est généré aléatoirement, Minecraft permet au joueur de récolter divers matériaux, d'élever des animaux et de modifier le terrain selon ses choix, en solo ou en multi (via des serveurs). Il doit également survivre en se procurant de la nourriture et en se protégeant des monstres qui apparaissent la nuit et dans des donjons. Il peut également monter de niveau afin d'acheter des enchantements.",18 novembre 2011,19/20,18.5/20
Quake III Arena,"Quake III Arena sur PC est un jeu de tir à la première personne orienté multijoueur. Un arsenal varié et complet est à votre disposition pour organiser une joyeuse boucherie seul ou par équipe. Les modes classiques du genre sont tous là (Capture The Flag, Possession, Deathmatch...).",15 décembre 1999,19/20,17.2/20
Quake II,"Quake II est un jeu de tir sur PC. En tant que Marine, votre mission est de lancer une contre-attaque sur la planète Stroggos, afin d'enrailler la menace Strogg. Votre principal objectif sera de détruire un canon orbital afin de permettre un bombardement terrestre massif. Bienvenue dans l'enfer poisseux et terrifiant de Stroggos.",1997,19/20,17.3/20
Super Mario World 2 : Yoshi's Island sur SNES,"Super Mario World 2 : Yoshi's Island sur Super Nintendo nous fait découvrir l'origine des frères Mario et Luigi. Alors qu'une cigogne amène les deux bébés à leurs parents, le sorcier Kamek la heurte afin de l'empêcher d'arriver à destination car il a prédit que Mario et Luigi poseraient problème à son maître Bowser dans le futur. Kamek arrive à kidnapper Luigi mais Mario échoue sur l'île des Yoshis. Ces derniers s'organisent pour que Mario retrouve son frère.",6 octobre 1995,19/20,18.8/20
Tetris,Tetris sur PC est le célèbre puzzle-game dans lequel vous devez empiler des briques afin de constituer des lignes qui s'effaceront au fur et à mesure de votre progression. La difficulté augmente au fil de votre avancée.,1987,19/20,18.7/20
Panzer Dragoon II Zwei sur Saturn,Panzer Dragoon II Zwei est un jeu de tir sur Saturn. Chevauchez un bébé dragon qui grandira tout au long des parcours que vous choisirez. Evoluez dans des univers 3D et accédez à des boss gigantesques.,1996,19/20,17/20
Outcast sur PC,"Outcast est un jeu d'action / aventure. L'existence des mondes parallèles a été découverte, mais une expérience ratée avec une sonde a engendré un contrecoup énergétique dans notre monde, qui menace d'engloutir toute la planète en quelques jours. Vous avez donc été choisi pour aller récupérer la sonde dans l'autre monde.",Juin 1999,19/20,18.7/20
Sega Rally Championship,"Sega Rally Championship sur PC est un jeu de courses/rallye. Lui-aussi adapté de sa version arcade (comme beaucoup d'autres titres de la série), le soft propose des courses nerveuses avec deux bolides différents (plus deux à déverrouiller) et demande une maîtrise du dérapage pour terminer en tête, particulièrement dans un duel en ligne.",26 janvier 1996,19/20,17.2/20
Portal 2,"Portal 2, suite du premier opus du même nom, est un jeu de réflexion en vue FPS. Shell, l’héroïne, doit une fois de plus essayer de s'échapper du complexe d'Aperture Science en utilisant le Portal Gun, sorte de pistolet permettant de créer des portails. GlaDOS est de retour, mais on découvre aussi de nouveaux personnages comme Weathley. Un mode deux joueurs est également disponible.",19 avril 2011,19/20,18.9/20
Okami,"Okami est un jeu d'aventure et d'action. Le titre dispose d'un aspect graphique très particulier, et vous propose d'incarner la déesse Amaterasu réincarnée en un magnifique loup blanc, dans une quête pour redonner de la vie et de la couleur dans votre monde, terrorisé par de nombreux ennemis qui font régner les ténèbres. Battez-vous au moyen d'un pinceau, véritable prolongement du personnage qu'on incarne, et utilisez-le également pour avancer dans l'histoire.",8 février 2007,19/20,19/20
The Walking Dead : Episode 5 - No Time Left,"The Walking Dead : Episode 5 - No Time Left pour PC est le cinquième épisode du jeu vidéo, inspiré du comic du même nom. On y retrouve Lee dans la ville de Savannah, ce dernier partant à la rescousse de Clémentine qui a été capturée...",21 novembre 2012,19/20,18.1/20
Super Mario Bros. 3,"Retrouvez le célèbre plombier à moustaches et salopette dans Super Mario Bros. 3. Bondissez de part en part pour sauver le Royaume Champignon et mettez à profit les nouvelles capacités de Mario : volez grâce au costume de raton laveur, nagez avec celui de la grenouille, crachez des boules de feu avec la fleur et rendez-vous invincible aveccelui du tanuki ! Parcourez huit mondes gigantesques, seul ou à deux, en coopération ou en affrontement, et retrouvez Bowser pour lui faire payer son énième forfait.",29 août 1991,19/20,18.8/20
Rayman 2 : The Great Escape,"Rayman 2 : The Great Escape sur PC est un classique du jeu de plates-formes en 3D. Vous incarnez le célèbre personnage sans bras, ni cou, ni jambes, sorti de l'imagination de Michel Ancel. Armé de vos poings, vous devez débarrasser le monde des robots-pirates. Le jeu est d'une grande richesse et regorge de surprises.",22 octobre 1999,19/20,18.4/20
The Legend of Zelda,"The Legend of Zelda sur Wii vous présente la première aventure du jeune Link. Débutez votre périple dans le fantastique monde d'Hyrule. A l'aide de votre épée, de votre bouclier et de votre intelligence, retrouvez les huit fragments de la Triforce et sauvez la princesse Zelda.",15 novembre 1987,19/20,17.9/20
EverQuest : The Ruins of Kunark sur PC,"The Ruins of Kunark est la première extension du jeu de rôle massivement multijoueur Everquest, sur PC. Autrefois puissant, l'empire des hommes-lézards est sur le déclin. Leurs villes tombent en ruine et sont désormais habitées par des monstres exotiques. Le continent de Kunark est alors envahi par des elfes qui cherchent à l'exploiter.",27 avril 2000,19/20,16.9/20
Final Fantasy XII sur PS2,"Jeu de rôle, Final Fantasy XII est le douzième volet de la série. Il se différencie de ses prédécesseurs à travers une nouvelle approche des combats plus dynamique, vous permettant d'être plus libre de vos mouvements. Parcourez le vaste monde du titre pour découvrir une histoire riche en rebondissements et en magie.",22 février 2007,19/20,17.2/20
Metroid,"Découvrez les premières aventures de Samus Aran, chasseuse de primes intergalactique, dans Metroid sur Wii U. Engoncée dans votre armure, combattez des aliens dans ce jeu d'action se déroulant sur un plan horizontal. Transformez-vous à tout moment en boule morphing pour traverser des passages étroits. Infiltrez le complexe ennemi et détruisez leur leader : Mother Brain.",15 janvier 1988,19/20,18.5/20
Dead or Alive 2,"Plastique généreuse des combattantes, technicité, intensité des affrontements. Voici ce qui caractérise Dead or Alive 2 sur Dreamcast, jeu de baston faisant office de figure de proue du genre. Une douzaine de personnages, de nombreux modes de jeu ainsi qu'une douzaine d'arènes sont au programme de cet épisode.",14 juillet 2000,19/20,17/20
Divinity : Original Sin - Enhanced Edition,"Jeu de rôle au tour par tour, Divinity : Original Sin se passe 8 millénaires après les événements de Divinity : Dragon Commander. Prenant place dans un univers heroïc-fantasy et s'inspirant des mécaniques des premiers jeux de rôle tels que Donjons et Dragons, le jeu comprend un mode multijoueur en écran splitté. La version Enhanced rendant le jeu disponible sur consoles apportera des nouveautés en termes de contenu et de scénario.",27 octobre 2015,19/20,17.2/20
Dishonored 2,"Suite du primé Dishonored, un jeu à la première personne à la croisée des genres action et infiltration se déroulant dans un univers steampunk uchronique. Pouvoirs, assassinats, complots sont au programme.",11 novembre 2016,19/20,17.2/20
Dark Souls III,"Développé par From Software, Dark Souls 3 est un action RPG particulièrement exigeant. L'environnement, très peu accueillant, ravira les amateurs de challenges corsés. Vous y combattrez de gigantesques ennemis, qui ne feront qu'une bouchée de vous.",12 avril 2016,19/20,17.5/20
Unravel,"Entre plates-formes et réflexion, Unravel vous embarque dans un univers nordique réaliste aux commandes de Yarny. Haut comme trois pommes, ce petit personnage doit utiliser ses propriétés laineuses pour explorer un environnement aux mille dangers, en évitant notamment l'eau, le froid et les animaux sauvages.",9 février 2016,19/20,17.1/20
NieR Automata,"Nier Automata est un jeu d'action de type RPG jouable en solo. Le titre amène le joueur dans un futur lointain où la Terre a été envahie par des formes extra-terrestres armées de ""bio-machines"". Après s'être réfugiée sur la lune, l'humanité envoie sur leur planète natale des androïdes capable de lutter avec les extra-terrestres et reconquérir la planète.",10 mars 2017,19/20,17.5/20
GemCraft : Chasing Shadows sur PC,"Le dernier né de la saga GemCraft, une série unique de jeux de Tower Defense sur PC où, au lieu de tours, vous utilisez des gemmes en tant qu'armes pour combattre des hordes incessantes de monstres redoutables.",30 avril 2015,19/20,11.1/20
Dishonored : Definitive Edition,"Dishonored : Definitive Edition est la version remasterisé de Dishonored, jeu d'infiltration et d'action dans lequel le joueur incarne Corvo, un ancien garde du corps. La Definitive Edition comprend aussi tous les DLC de Dishonored.",25 août 2015,19/20,16.2/20
Divinity : Original Sin II - Definitive Edition,Divinity : Original Sin II est un RPG où vous choisissez votre race et et votre background. Le monde réagit en fonction de vos choix. Rassemblez votre équipe et affrontez vos adversaires avec différents éléments de combat tactique au tour par tour. Explorez un vaste monde seul ou avec 4 joueurs en coopératif.,14 septembre 2017,19/20,17.6/20
Fire Emblem Fates : Revelation sur 3DS,"Fire Emblem Fates : Revelation est un DLC pour les deux versions de Fire Emblem Fates. Il propose un troisième scénario bonus qui permet d'interagir avec les deux camps de l'histoire, proposant encore un troisième point de vue sur celle-ci.",9 juin 2016,19/20,18/20
The Witcher 3 : Wild Hunt - Blood and Wine,"Dans The Witcher 3 : Wild Hunt - Blood and Wine sur PC, entrez dans la peau de Geralt de Riv, tueur de monstres professionnel, et explorez Toussaint, une lointaine contrée épargnée par la guerre, où vous lèverez le voile sur le terrible secret derrière la bête terrorisant le duché. Démêlez l'écheveau complexe des pistes au cœur d'un mystère que seul un sorceleur pourra élucider, tout en survivant au mal tapi à la faveur de la nuit.",31 mai 2016,19/20,19.2/20
Forza Horizon 3,"Jeu de course en monde ouvert, Forza Horizon 3 vous donne accès à des centaines de véhicules. Le joueur pourra arpenter à toute vitesse les paysages d'Australie. De très nombreuses épreuves sont au programme et les pilotes du monde entier peuvent s'affronter dans les mêmes conditions que dans le mode solo. Le jeu est en Xbox Play Anywhere, ce qui signifie qu'une même clé est activable sur Windows 10 comme sur Xbox One.",27 septembre 2016,19/20,17.4/20
Super Mario Odyssey sur Switch,"Super Mario Odyssey est un jeu de plate-forme où la princesse Peach a été enlevée par Bowser. Pour la sauver, Mario quitte le royaume Champignon à bord de l'Odyssey. Accompagné de Chappy, son chapeau vivant, il doit parcourir différents royaumes et faire tout pour vaincre, une nouvelle fois, le terrible Bowser.",27 octobre 2017,19/20,17.6/20
Zero Escape : The Nonary Games,"Zero Escape: The Nonary Games est un jeu d'aventure jouable en solo. Enlevées puis amenées dans un lieu inconnu, neuf personnes se retrouvent forcées de participer à un jeu diabolique orchestré par l’énigmatique Zero. Pourquoi ? A qui faire confiance ?",24 mars 2017,19/20,16.4/20
Okami HD,"Okami est un jeu d'aventure et d'action sur PC. Le titre dispose d'un aspect graphique très particulier, et vous propose d'incarner la déesse Amaterasu réincarnée en un magnifique loup blanc, dans une quête pour redonner de la vie et de la couleur dans votre monde, terrorisé par de nombreux ennemis qui font régner les ténèbres. Battez-vous au moyen d'un pinceau, véritable prolongement du personnage qu'on incarne, et utilisez-le également pour avancer dans l'histoire.",12 décembre 2017,19/20,16/20
Monster Hunter World,"La dernière entrée de la série Monster Hunter. Plus complet que jamais, le jeu transporte le joueur au travers de batailles contre de terribles monstres et de magnifiques paysages. Récupérerez des objets sur vos ennemis, créez de nouveaux équipements et armures, explorez tous les territoires disponibles. Saurez vous devenir le chasseur ultime ?",26 janvier 2018,18/20,16.9/20
Octopath Traveler sur Switch,"Octopath Traveller est un RPG développé par Square Enix en HD-2D. Vous pourrez choisir votre personnage parmi 8 présents, chacun ayant ses propres capacités, mais aussi ses propres objectifs, offrant une histoire différente.",13 juillet 2018,18/20,14.5/20
Dragon Ball FighterZ,Dragon Ball FighterZ est un jeu de combat 2D développé par Arc System Works et édité par Bandai Namco. Cette nouvelle adaptation de la franchise Dragon Ball met en scène les personnages iconiques de la série dans des affrontements explosifs en 3 versus 3.,26 janvier 2018,18/20,16.7/20
Dead Cells,"Dead Cells est un jeu d'action-aventure de type plate-forme avec des éléments de rogue-like. Le joueur doit explorer un château et résister à des hordes de zombies et de monstres. Pour ce faire, vous pouvez utiliser votre fouet et différentes armes en plus de la magie.",7 août 2018,18/20,16.6/20
